flow_id,src_ip,src_port,dest_ip,dest_port,proto,timestamp,duration,ground_truth_label,expected_sid,split
FLOW_0001,192.168.1.100,49152,192.168.1.10,80,TCP,2026-09-22T07:43:54.770543+00:00,0.055,Benign,0,calibration
FLOW_0002,192.168.1.100,49153,192.168.1.10,80,TCP,2026-09-22T07:43:55.325543+00:00,0.055,Benign,0,calibration
FLOW_0003,192.168.1.100,49154,192.168.1.10,80,TCP,2026-09-22T07:43:55.880543+00:00,0.055,Benign,0,calibration
FLOW_0004,192.168.1.100,49155,192.168.1.10,80,TCP,2026-09-22T07:43:56.435544+00:00,0.055,Benign,0,calibration
FLOW_0005,192.168.1.100,49156,192.168.1.10,80,TCP,2026-09-22T07:43:56.990544+00:00,0.055,Benign,0,calibration
FLOW_0006,192.168.1.101,53000,192.168.1.1,53,UDP,2026-09-22T07:43:57.545544+00:00,0.02,Benign,0,calibration
FLOW_0007,192.168.1.101,53001,192.168.1.1,53,UDP,2026-09-22T07:43:57.765544+00:00,0.02,Benign,0,calibration
FLOW_0008,192.168.1.101,53002,192.168.1.1,53,UDP,2026-09-22T07:43:57.985544+00:00,0.02,Benign,0,calibration
FLOW_0009,203.0.113.11,60001,192.168.1.10,80,UDP,2026-09-22T07:43:58.205544+00:00,0.45,DoS-LOIC-UDP,1000001,calibration
FLOW_0010,203.0.113.12,60002,192.168.1.10,80,TCP,2026-09-22T07:43:59.655547+00:00,0.63,DoS-LOIC-TCP,1000002,calibration
FLOW_0011,203.0.113.13,60003,192.168.1.10,80,TCP,2026-09-22T07:44:01.285543+00:00,8.42,DoS-Slowloris,1000003,calibration
FLOW_0012,203.0.113.14,60004,192.168.1.10,80,TCP,2026-09-22T07:44:10.705544+00:00,9.02,DoS-SlowHTTPTest,1000004,calibration
FLOW_0013,203.0.113.15,60005,192.168.1.10,80,TCP,2026-09-22T07:44:20.725545+00:00,1.1,DoS-Hulk-GoldenEye,1000005,calibration
FLOW_0014,203.0.113.16,60006,192.168.1.10,80,TCP,2026-09-22T07:44:22.825544+00:00,1.2,PortScan-TCP-SYN,1000006,calibration
FLOW_0015,203.0.113.17,60007,192.168.1.10,100,TCP,2026-09-22T07:44:25.025542+00:00,1.4,PortScan-Connect,1000007,calibration
FLOW_0016,203.0.113.18,60008,192.168.1.10,22,TCP,2026-09-22T07:44:27.425541+00:00,2.0,BruteForce-SSH-Patator,1000008,calibration
FLOW_0017,203.0.113.19,60009,192.168.1.10,21,TCP,2026-09-22T07:44:30.425541+00:00,2.81,BruteForce-FTP-Patator,1000009,calibration
FLOW_0018,203.0.113.20,60010,192.168.1.10,80,TCP,2026-09-22T07:44:34.235542+00:00,0.05,WebAttack-SQLi,1000010,calibration
FLOW_0019,203.0.113.21,60011,192.168.1.10,80,TCP,2026-09-22T07:44:35.285542+00:00,0.05,WebAttack-XSS,1000011,calibration
FLOW_0020,192.168.1.50,60012,198.51.100.77,8080,TCP,2026-09-22T07:44:36.335542+00:00,16.01,Botnet-C2-Beaconing,1000012,calibration
FLOW_0021,192.168.1.88,60013,192.168.1.10,445,TCP,2026-09-22T07:44:53.345542+00:00,0.05,Infiltration-LateralSweep,1000013,calibration
FLOW_0022,198.51.100.99,60014,192.168.1.10,80,TCP,2026-09-22T07:44:54.395542+00:00,0.05,ZeroDay-Unknown-Exploit,0,calibration
