flow_id,src_ip,src_port,dest_ip,dest_port,proto,timestamp,duration,ground_truth_label,expected_sid,split
FLOW_000001,172.16.0.1,49152,192.168.10.50,80,TCP,2017-07-06T13:20:00+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000002,172.16.0.1,49153,192.168.10.50,80,TCP,2017-07-06T13:20:01.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000003,172.16.0.1,49154,192.168.10.50,80,TCP,2017-07-06T13:20:03+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000004,172.16.0.1,49155,192.168.10.50,80,TCP,2017-07-06T13:20:04.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000005,172.16.0.1,49156,192.168.10.50,80,TCP,2017-07-06T13:20:06+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000006,172.16.0.1,49157,192.168.10.50,80,TCP,2017-07-06T13:20:07.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000007,172.16.0.1,49158,192.168.10.50,80,TCP,2017-07-06T13:20:09+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000008,172.16.0.1,49159,192.168.10.50,80,TCP,2017-07-06T13:20:10.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000009,172.16.0.1,49160,192.168.10.50,80,TCP,2017-07-06T13:20:12+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000010,172.16.0.1,49161,192.168.10.50,80,TCP,2017-07-06T13:20:13.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000011,172.16.0.1,49162,192.168.10.50,80,TCP,2017-07-06T13:20:15+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000012,172.16.0.1,49163,192.168.10.50,80,TCP,2017-07-06T13:20:16.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000013,172.16.0.1,49164,192.168.10.50,80,TCP,2017-07-06T13:20:18+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000014,172.16.0.1,49165,192.168.10.50,80,TCP,2017-07-06T13:20:19.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000015,172.16.0.1,49166,192.168.10.50,80,TCP,2017-07-06T13:20:21+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000016,172.16.0.1,49167,192.168.10.50,80,TCP,2017-07-06T13:20:22.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000017,172.16.0.1,49168,192.168.10.50,80,TCP,2017-07-06T13:20:24+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000018,172.16.0.1,49169,192.168.10.50,80,TCP,2017-07-06T13:20:25.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000019,172.16.0.1,49170,192.168.10.50,80,TCP,2017-07-06T13:20:27+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000020,172.16.0.1,49171,192.168.10.50,80,TCP,2017-07-06T13:20:28.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000021,172.16.0.1,49172,192.168.10.50,80,TCP,2017-07-06T13:20:30+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000022,172.16.0.1,49173,192.168.10.50,80,TCP,2017-07-06T13:20:31.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000023,172.16.0.1,49174,192.168.10.50,80,TCP,2017-07-06T13:20:33+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000024,172.16.0.1,49175,192.168.10.50,80,TCP,2017-07-06T13:20:34.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000025,172.16.0.1,49176,192.168.10.50,80,TCP,2017-07-06T13:20:36+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000026,172.16.0.1,49177,192.168.10.50,80,TCP,2017-07-06T13:20:37.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000027,172.16.0.1,49178,192.168.10.50,80,TCP,2017-07-06T13:20:39+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000028,172.16.0.1,49179,192.168.10.50,80,TCP,2017-07-06T13:20:40.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000029,172.16.0.1,49180,192.168.10.50,80,TCP,2017-07-06T13:20:42+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000030,172.16.0.1,49181,192.168.10.50,80,TCP,2017-07-06T13:20:43.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000031,172.16.0.1,49182,192.168.10.50,80,TCP,2017-07-06T13:20:45+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000032,172.16.0.1,49183,192.168.10.50,80,TCP,2017-07-06T13:20:46.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000033,172.16.0.1,49184,192.168.10.50,80,TCP,2017-07-06T13:20:48+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000034,172.16.0.1,49185,192.168.10.50,80,TCP,2017-07-06T13:20:49.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000035,172.16.0.1,49186,192.168.10.50,80,TCP,2017-07-06T13:20:51+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000036,172.16.0.1,49187,192.168.10.50,80,TCP,2017-07-06T13:20:52.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000037,172.16.0.1,49188,192.168.10.50,80,TCP,2017-07-06T13:20:54+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000038,172.16.0.1,49189,192.168.10.50,80,TCP,2017-07-06T13:20:55.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000039,172.16.0.1,49190,192.168.10.50,80,TCP,2017-07-06T13:20:57+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000040,172.16.0.1,49191,192.168.10.50,80,TCP,2017-07-06T13:20:58.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000041,172.16.0.1,49192,192.168.10.50,80,TCP,2017-07-06T13:21:00+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000042,172.16.0.1,49193,192.168.10.50,80,TCP,2017-07-06T13:21:01.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000043,172.16.0.1,49194,192.168.10.50,80,TCP,2017-07-06T13:21:03+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000044,172.16.0.1,49195,192.168.10.50,80,TCP,2017-07-06T13:21:04.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000045,172.16.0.1,49196,192.168.10.50,80,TCP,2017-07-06T13:21:06+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000046,172.16.0.1,49197,192.168.10.50,80,TCP,2017-07-06T13:21:07.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000047,172.16.0.1,49198,192.168.10.50,80,TCP,2017-07-06T13:21:09+00:00,0.05,Web Attack - Brute Force,1000014,test
FLOW_000048,172.16.0.1,49199,192.168.10.50,80,TCP,2017-07-06T13:21:10.500000+00:00,0.05,Web Attack - Brute Force,1000014,test
